,Name,Calories,Type
571,Sorvete de Pistache (Kascão),123,1 bola (60g)
572,Sorvete Levinho de Maracujá (Kascão),98,1 bola  (60g)
573,Hambúrguer de Carne Bovina (Mister Beef),111,1 unidade (56g)
574,Hambúrguer de Picanha (Mister Beef),305,1 porção (120g)
575,Canela Em Pó (Kitano),5,1 porção (2g)
576,Sopão de Galinha com Macarrão (Kitano),115,1 concha (300ml)
577,Molho de Alho (Kitano),21,1 colher de sopa (11g)
578,Orégano (Kitano),0,1 colher de chá 
579,Curry (Kitano),14,1 colher de chá (5g)
580,Canela em Casca (Kitano),5,1 porção (2g)
581,Molho de Pimenta (Kitano),2,1 colher de sopa (11g)
582,Molho Shoyu (Kitano),9,1 colher de sopa (12g)
583,Tempero Baiano (Kitano),6,1 colher de chá (5g)
584,Molho Inglês (Kitano),4,1 colher de sopa (11g)
585,Sopão de Carne (Kitano),77,3 1/2 colheres de sopa (24g)
586,Sopão Galinha (Kitano),81,3 1/2 colher de sopa (24g)
587,Alho Granulado (Kitano),5,1 porção (2g)
588,"Tempero para Aves, Peixes, Legumes e Saladas (Kitano)",8,1 colher de chá (5g)
589,Creme de Cebola (Kitano),51,2 1/2 colheres de sopa (16g)
590,Sopa de Cebola (Kitano),36,2 colheres de sopa (12g)
591,Colorifico (Kitano),19,1 colher de chá (5g)
592,Canja (Kitano),59,2 1/2 colheres de sopa (18g)
593,Pasta de Amendoim Cookies (La Ganexa),51,1 porção (10g)
594,Pasta de Amendoim Mousse de Brigadeiro (La Ganexa),51,1 porção  (10g)
595,Pasta de Amendoim Doce de Leite com Castanha de Caju (La Ganexa),43,1 porção (10g)
596,Pasta de Amendoim Chocolate Branco Crocante (La Ganexa),73,1 colher de sopa (15g)
597,Pasta de Amendoim com Avelã (La Ganexa),56,1 porção (10g)
598,Pasta de Amendoim Integral Gourmet (La Ganexa),78,1 porção (15g)
599,Pasta de Amendoim Integral Gourmet com Nozes (La Ganexa),63,1 porção (10g)
600,Pasta de Amendoim Trufado de Coco (La Ganexa),55,1 porção (10g)
601,Pasta de Amendoim com Café (La Ganexa),63,1 porção (10g)
602,Azeite Tradicional (Maria),108,1 colher de sopa (13ml)
603,Óleo Composto de Soja e Oliva (Maria),108,1 colher de sopa (13ml)
604,Maionese (Maria),19,1 colher de sopa (12g)
605,Pate de Alho Poró (Maria),50,1 porção  (30g)
606,Azeite de Oliva Extra Virgem (Maria),108,1 colher de sopa (13ml)
607,Whey Protein Concentrado Baunilha (NewNutrition),119,2 medidores (30g)
608,Whey Protein Concentrado Chocolate (NewNutrition),118,2 medidas (30g)
609,Whey Protein All Natural (NewNutrition),121,2 medidores (30g)
610,Whey Protein Zero Lactose Sabor Baunilha (NewNutrition),119,2 medidores (30g)
611,Whey Concentrado Cookies (NewNutrition),123,2 medidores (33g)
612,Whey Protein Zero Lactose Sabor Morango (NewNutrition),120,2 medidores (30g)
613,Whey Protein Isolado Baunilha (NewNutrition),110,1 porção (30g)
614,Whey Protein Amendoim (NewNutrition),154,2 medidores (36g)
615,Whey Protein Sabor Chocolate (NewNutrition),125,2 medidores (30g)
616,Whey Complex (NewNutrition),150,2 medidores (40g)
617,Soy Protein (NewNutrition),118,2 medidores (30g)
618,Whey Protein All Natural Chocolate (NewNutrition),106,2 medidores (30g)
619,Whey Protein Concentrado Baunilha (NewNutrition),155,3 colheres de sopa (40g)
